ID,Tên sản phẩm,Giá,Liên kết,Hình ảnh
EM9579,Đầm Suông Đen Phi cc,750.000 ₫,https://vayemy.vn/chi-tiet/em9579-dam-suong-den-phi-cc,https://vayemy.vn/wp-content/uploads/2025/02/z6326384063968_414762ecbb0937ecf29c1e29a3f73f31-247x371.webp
EM2113,Đầm Xoè Đỏ Kết Đá,780.000 ₫,https://vayemy.vn/chi-tiet/em2113-dam-xoe-do-ket-da,https://vayemy.vn/wp-content/uploads/2025/02/z6283389324224_11b12d1d2239a2b27442d147e1d9c005-247x371.webp
EM7669,Đầm Xoè Trắng Linen,780.000 ₫,https://vayemy.vn/chi-tiet/em7669-dam-xoe-trang-linen,https://vayemy.vn/wp-content/uploads/2025/02/z6306640080052_82b6a9ca390aa78cd0efea68abba7355-247x371.webp
EM9542,Đầm Xoè Phối Hoa Xanh+ Đen,640.000 ₫,https://vayemy.vn/chi-tiet/em9542-dam-xoe-phoi-hoa-xanh-den,https://vayemy.vn/wp-content/uploads/2025/01/z6304296801823_82ccdfe8624f1b74aa817c37a5709951-247x371.webp
EM9565,Đầm dự tiệc suông Xanh lá,720.000 ₫,https://vayemy.vn/chi-tiet/em9565-dam-du-tiec-suong-xanh-la,https://vayemy.vn/wp-content/uploads/2025/01/z6310147553946_4588e0edf88ffe81475c56396a33b8a3-247x371.webp
EM2096,Đầm Tuyết Cotton Xanh Lá Kết Cườm,750.000 ₫,https://vayemy.vn/chi-tiet/em2096-dam-tuyet-cotton-xanh-la-ket-cuom,https://vayemy.vn/wp-content/uploads/2025/01/em2096-dam-tuyet-cotton-xanh-la-ket-cuom-2-247x371.webp
EM9577,Đầm Xoè A Gấm Hoa,680.000 ₫,https://vayemy.vn/chi-tiet/em9577-dam-xoe-a-gam-hoa,https://vayemy.vn/wp-content/uploads/2025/01/z6303274937027_ed198fc88eac57c1d500d1aa316750c4-247x371.webp
EM2101,Đầm xoè Gấm Hoa Vàng,750.000 ₫,https://vayemy.vn/chi-tiet/em2101-dam-xoe-gam-hoa-vang,https://vayemy.vn/wp-content/uploads/2024/12/EM2101-3-Dam-xoe-Gam-Hoa-Vang-247x371.webp
EM2064,Sắc xanh quý phái,680.000 ₫,https://vayemy.vn/chi-tiet/em2064-sac-xanh-quy-phai,https://vayemy.vn/wp-content/uploads/2024/10/2064-1-of-5-247x371.jpg
EM2060,Đầm A Tafta Cổ Vuông – Sự Kết Hợp Hoàn Hảo Giữa Sang Trọng và Tinh Tế,720.000 ₫,https://vayemy.vn/chi-tiet/em2060-dam-a-tafta-co-vuong-su-ket-hop-hoan-hao-giua-sang-trong-va-tinh-te,https://vayemy.vn/wp-content/uploads/2024/10/z5946300082134_273d284d08e57ebf4e0abf458c19f5fd-247x371.jpg
EM9517,Sự tinh tế và quyến rũ từ đầm xòe vải voan họa tiết,680.000 ₫,https://vayemy.vn/chi-tiet/em9517-su-tinh-te-va-quyen-ru-tu-dam-xoe-vai-voan-hoa-tiet,https://vayemy.vn/wp-content/uploads/2024/10/z5974791731735_4bd29c335a51c3841dbeeb6d342edafa-247x371.jpg
EM7621,Đầm Xoè Dập Ply Phối Lưới,720.000 ₫,https://vayemy.vn/chi-tiet/em7621-dam-xoe-dap-ply-phoi-luoi,https://vayemy.vn/wp-content/uploads/2024/10/z5938419304128_13cbce5cc78dc602b5c6228b8ee13286-247x371.jpg
EM7620,Đầm Xoè Đen Tafta Xước,720.000 ₫,https://vayemy.vn/chi-tiet/em7620-dam-xoe-den-tafta-xuoc,https://vayemy.vn/wp-content/uploads/2024/10/z5927928550797_ed4f52cf466334a5a1eb0830cccdfed8-247x371.jpg
EM2047,Đầm Suông Linen Xanh Jean,680.000 ₫,https://vayemy.vn/chi-tiet/em2047-dam-suong-linen-xanh-jean,https://vayemy.vn/wp-content/uploads/2024/10/z5928726894924_e0b671cec92301874777cf27bc1422e5-247x371.jpg
EM7613,Sườn Xám Đen Hoa,720.000 ₫,https://vayemy.vn/chi-tiet/em7613-suon-xam-den-hoa,https://vayemy.vn/wp-content/uploads/2024/10/z5887833721105_b646434942d595b16282cf46dfe568ef-247x371.jpg
EM9490,Nét xuân thanh khiết,680.000 ₫,https://vayemy.vn/chi-tiet/em9490-net-xuan-thanh-khiet,https://vayemy.vn/wp-content/uploads/2024/10/z5889584853379_ca7bf567dd233ce8947e6d5dc279957a-247x371.jpg
EM2046,Đầm suông A cổ V xếp ly,680.000 ₫,https://vayemy.vn/chi-tiet/em2046-dam-suong-a-co-v-xep-ly,https://vayemy.vn/wp-content/uploads/2024/09/z5929271602151_2c7c1a0b54524ae606cad7961a7496ec-247x371.jpg
EM7615,Đầm Body Đuôi Cá Đen,680.000 ₫,https://vayemy.vn/chi-tiet/em7615-dam-body-duoi-ca-den,https://vayemy.vn/wp-content/uploads/2024/09/z5865710391201_2fed461d0f4d12be988a1cf2896bced2-247x371.jpg
EM7616,Đầm Body Đuôi Cá Xanh,680.000 ₫,https://vayemy.vn/chi-tiet/em7616-dam-body-duoi-ca-xanh,https://vayemy.vn/wp-content/uploads/2024/09/z5852353380837_cae88c01cc5a764050b1b5dfe7d99472-247x371.jpg
EM7611,Đầm Xoè Hoa Dập Ply,720.000 ₫,https://vayemy.vn/chi-tiet/em7611-dam-xoe-hoa-dap-ply,https://vayemy.vn/wp-content/uploads/2024/09/z5852353869359_684e94a0c81eb4ef17b93633ae25e6bd-247x371.jpg
EM7609,Đầm xanh Jean trẻ trung,750.000 ₫,https://vayemy.vn/chi-tiet/em7609-dam-xanh-jean-tre-trung,https://vayemy.vn/wp-content/uploads/2024/09/z5839002590759_76590fdfdd7feae7ea9d57d2cc2ca585-247x371.jpg
EM9507,Đầm xòe cổ phối nơ họa tiết chấm bi,640.000 ₫,https://vayemy.vn/chi-tiet/em9507-dam-xoe-co-phoi-no-hoa-tiet-cham-bi,https://vayemy.vn/wp-content/uploads/2024/09/z5836118198878_c0aff41e3f81170eeb12e52813bbeecd-247x371.jpg
EM2038,Jum Ống Loe Caro Xanh,750.000 ₫,https://vayemy.vn/chi-tiet/em2038-jum-ong-loe-caro-xanh,https://vayemy.vn/wp-content/uploads/2024/09/z5819449996442_9e03d28d86111b5b9b250798c66ccab3-247x371.jpg
EM2031,Đầm Xoè Bèo Cổ Tùng Xếp Ply,720.000 ₫,https://vayemy.vn/chi-tiet/em2031-dam-xoe-beo-co-tung-xep-ply,https://vayemy.vn/wp-content/uploads/2024/08/z5815062481409_ed526627082bcfa25f9257c096e5209e-247x371.jpg
EM7599,Đầm Xoè cổ sơ mi họa tiết da beo,680.000 ₫,https://vayemy.vn/chi-tiet/em7599-dam-xoe-co-so-mi-hoa-tiet-da-beo,https://vayemy.vn/wp-content/uploads/2024/08/z5842913861906_2ce865100d031b6b55d2be8a89af8fad-247x371.jpg
EM2029,Đầm Xoè A Gấm Taffta,850.000 ₫,https://vayemy.vn/chi-tiet/em2029-dam-xoe-a-gam-taffta,https://vayemy.vn/wp-content/uploads/2024/08/z5815943774615_ce57dcc212fed0c97b2f27b82c17ec99-247x371.jpg
EM7601,Xoè Trắng Tinh Khôi,680.000 ₫,https://vayemy.vn/chi-tiet/em7601-xoe-trang-tinh-khoi,https://vayemy.vn/wp-content/uploads/2024/08/z5815057592340_39ce90316632d01b3b86fd5addfe270b-247x371.jpg
EM7600,Đầm Xoè Hoa Cổ V,680.000 ₫,https://vayemy.vn/chi-tiet/em7600-dam-xoe-hoa-co-v,https://vayemy.vn/wp-content/uploads/2024/08/z5720274862537_e69eead6c13e093ca0cdbf1c3faff5a8-247x371.jpg
EM9488,Đầm gấm họa tiết vân mây,720.000 ₫,https://vayemy.vn/chi-tiet/em9488-dam-gam-hoa-tiet-van-may,https://vayemy.vn/wp-content/uploads/2024/08/2024_08_05_18_56_IMG_2062-247x371.jpg
EM7585,Đầm Xoè Hoa Cam xếp ply,680.000 ₫,https://vayemy.vn/chi-tiet/em7585-dam-xoe-hoa-cam-xep-ply,https://vayemy.vn/wp-content/uploads/2024/08/z5714407096414_15fd4bb5ec0db0117cabba622e338cb6-247x371.jpg
EM9499,Đầm suông vải mango đỏ,640.000 ₫,https://vayemy.vn/chi-tiet/em9499-dam-suong-vai-mango-do,https://vayemy.vn/wp-content/uploads/2024/08/z5815063366730_8af24d76ba5b8e9d5e696ae4a87a3d87-247x371.jpg
EM7595,Đầm Xoè Sát Nách Phối Lưới,850.000 ₫,https://vayemy.vn/chi-tiet/em7595-dam-xoe-sat-nach-phoi-luoi,https://vayemy.vn/wp-content/uploads/2024/08/z5713383688895_463d4efe7db0b116cefe1d705f168a8c-1-247x371.jpg
A7587,Áo Gấm Kem Nơ Lưng,450.000 ₫,https://vayemy.vn/chi-tiet/a7587-ao-gam-kem-no-lung,https://vayemy.vn/wp-content/uploads/2024/08/z5713976210632_04516bdb07a0723f2e463e06b27ad4bc-247x371.jpg
EM7589,Đầm Xoè Hoa,640.000 ₫,https://vayemy.vn/chi-tiet/em7589-dam-xoe-hoa,https://vayemy.vn/wp-content/uploads/2024/07/z5710551784441_dd3df71afcea79c9a14c29b7b046ae50-247x371.jpg
V9469,Chân Váy Xoè Hoạ Tiết Sơn Thuỷ,480.000 ₫,https://vayemy.vn/chi-tiet/v9469-chan-vay-xoe-hoa-tiet-son-thuy,https://vayemy.vn/wp-content/uploads/2024/06/z5716818137686_4bafed3f9954b7f6b383887dc488026f-247x371.jpg
A9469,Áo Sơ Mi Trắng Cổ Phối,360.000 ₫,https://vayemy.vn/chi-tiet/a9469-ao-so-mi-trang-co-phoi,https://vayemy.vn/wp-content/uploads/2024/06/z5716818137686_4bafed3f9954b7f6b383887dc488026f-247x371.jpg
EM9456,Đầm Xoè voan họa tiết loang màu,640.000 ₫,https://vayemy.vn/chi-tiet/em9456-dam-xoe-voan-hoa-tiet-loang-mau,https://vayemy.vn/wp-content/uploads/2024/06/z5716811076295_4635aa991096b7adaecbbf7df7c89178-247x371.jpg
V9429,Chân Váy Trắng Dập Ply,420.000 ₫,https://vayemy.vn/chi-tiet/v9429-chan-vay-trang-dap-ply,https://vayemy.vn/wp-content/uploads/2024/05/z5505569814709_2a1bfa25604101ef65965b8ed1f05261-247x371.jpg
A9429,Áo Xanh Cổ Danton,420.000 ₫,https://vayemy.vn/chi-tiet/a9429-ao-xanh-co-danton,https://vayemy.vn/wp-content/uploads/2024/05/z5505569814709_2a1bfa25604101ef65965b8ed1f05261-247x371.jpg
EM9439,Đầm xoè voan tơ hoa nhí,640.000 ₫,https://vayemy.vn/chi-tiet/em9439-dam-xoe-voan-to-hoa-nhi,https://vayemy.vn/wp-content/uploads/2024/05/z5503183798675_962cdd11cfc19da565abb8c31da71677-247x371.jpg
EM7543,Đầm xoè carolan dập ply,720.000 ₫,https://vayemy.vn/chi-tiet/em7543-dam-xoe-carolan-dap-ply,https://vayemy.vn/wp-content/uploads/2024/05/z5496377481125_8a1e0616f083feedccfcad31366a4b1a-247x371.jpg
EM9432,Đầm voan tơ hoa tím pastel,640.000 ₫,https://vayemy.vn/chi-tiet/em9432-dam-voan-to-hoa-tim-pastel,https://vayemy.vn/wp-content/uploads/2024/05/z5502289830406_80ba5d4acc5110ef7f20356c7e8497af-247x371.jpg
EM7522,Đầm Suông Đen Dập PLy Chân,620.000 ₫,https://vayemy.vn/chi-tiet/em7522-dam-suong-den-dap-ply-chan,https://vayemy.vn/wp-content/uploads/2024/05/z5496365808152_5b3a770ad0e64bc570387e859c863738-247x371.jpg
EM7528,Đầm Xoè Xanh Cổ Lục Giác,640.000 ₫,https://vayemy.vn/chi-tiet/em7528-dam-xoe-xanh-co-luc-giac,https://vayemy.vn/wp-content/uploads/2024/05/z5496378249412_0d341a7c510a4c9272c3bafe1838e829-247x371.jpg
EM7531,Đầm Xoè vải Tafta vân gỗ,720.000 ₫,https://vayemy.vn/chi-tiet/em7531-dam-xoe-vai-tafta-van-go,https://vayemy.vn/wp-content/uploads/2024/04/75314-247x371.jpg
DAM,Xoè Gấm Tafta EM7517,680.000 ₫,https://vayemy.vn/chi-tiet/dam-xoe-gam-tafta-em7517,https://vayemy.vn/wp-content/uploads/2024/05/z5421173911286_139439f6c0a5f7049bce67840df4aa2e-1-247x371.jpg
EM7507,Đầm Xoè Taffta Cổ Danton,750.000 ₫,https://vayemy.vn/chi-tiet/em7507-dam-xoe-taffta-co-danton,https://vayemy.vn/wp-content/uploads/2024/04/z5421161062107_19be3fd14cc4501d83d81435a5d40cb9-247x371.jpg
DAM,body choàng vai EM7511,640.000 ₫,https://vayemy.vn/chi-tiet/dam-body-choang-vai-em7511,https://vayemy.vn/wp-content/uploads/2024/04/z5496323298705_501332cb879b6354fe174c25171adc9a-247x371.jpg
EM7477,Đầm Suông Midi Nền Đen,620.000 ₫,https://vayemy.vn/chi-tiet/em7477-dam-suong-midi-nen-den,https://vayemy.vn/wp-content/uploads/2024/03/z5737167265408_6c95c3cdab3e240a5a0781d696d030c7-247x371.jpg
EM2007,Đầm Xoè Phối Đỏ Đen,680.000 ₫,https://vayemy.vn/chi-tiet/em2007-dam-xoe-phoi-do-den,https://vayemy.vn/wp-content/uploads/2024/01/z5853305356439_658b4247b8a5b25e62abef8bc1d43fe2-247x371.jpg
EM7429,Đầm Xoè Gấm Taffta Trắng,750.000 ₫,https://vayemy.vn/chi-tiet/em7429-dam-xoe-gam-taffta-trang,https://vayemy.vn/wp-content/uploads/2023/12/z5413222498980_885349d43272d417073bdbc23df6ec57-247x371.jpg
EM9359,Đầm Xoè Đỏ Cổ V cách điệu,680.000 ₫,https://vayemy.vn/chi-tiet/em9359-dam-xoe-do-co-v-cach-dieu,https://vayemy.vn/wp-content/uploads/2023/12/z6004908158492_13b2dc3064a68ccd5c6d6279b60f3a86-247x371.jpg
EM7276,Đầm Xoè Tay Lỡ,620.000 ₫,https://vayemy.vn/chi-tiet/em7276-dam-xoe-tay-lo,https://vayemy.vn/wp-content/uploads/2023/09/em7276-dam-xoe-tay-lo-lg-247x371.jpg
EM9318,Đầm Xoè sơ mi,620.000 ₫,https://vayemy.vn/chi-tiet/em9318-dam-xoe-hoa-lvp,https://vayemy.vn/wp-content/uploads/2023/08/z5726331269062_3c981a66ced8f50c61b9ffdcdd509900-247x371.jpg
EM7145,Đầm Xoè Gấm Vân,720.000 ₫,https://vayemy.vn/chi-tiet/em7145-dam-xoe-gam-van,https://vayemy.vn/wp-content/uploads/2023/06/em7145-dam-xoe-gam-van-lg-247x371.jpg
ET0041,Đầm Xoè Xanh Cổ Vuông,580.000 ₫,https://vayemy.vn/chi-tiet/et0041-dam-xoe-xanh-co-vuong,https://vayemy.vn/wp-content/uploads/2023/04/et0041-dam-xoe-xanh-co-vuong-lg-247x371.jpg
ET0034,Sét Áo Hồng Chân Váy Dập PLy,750.000 ₫,https://vayemy.vn/chi-tiet/et0034-set-ao-hong-chan-vay-dap-ply,https://vayemy.vn/wp-content/uploads/2023/04/et0034-set-ao-hong-chan-vay-dap-ply-lg-247x371.jpg
EM7000,Đầm Xoè Phối Ren,450.000 ₫,https://vayemy.vn/chi-tiet/em7000-dam-xoe-phoi-ren,https://vayemy.vn/wp-content/uploads/2023/04/em7000-dam-xoe-phoi-ren-vayemy.vn_-247x371.jpg
EM6996,Đầm maxi Smoking,680.000 ₫,https://vayemy.vn/chi-tiet/em6996-dam-maxi-smoking,https://vayemy.vn/wp-content/uploads/2023/04/20b-247x371.jpg
EM7003,Sét Áo Chân Váy,680.000 ₫,https://vayemy.vn/chi-tiet/em7003-set-ao-chan-vay,https://vayemy.vn/wp-content/uploads/2023/04/em7003-set-ao-chan-vay-vayemy.vn_-247x371.jpg
EM7055,Đầm A Đỏ Cổ V,620.000 ₫,https://vayemy.vn/chi-tiet/em7055-dam-a-do-co-v,https://vayemy.vn/wp-content/uploads/2023/04/em7055-dam-a-do-co-v-2-247x371.jpg
EM7096,Đầm Xoè Xếp Ply Đô Trước,620.000 ₫,https://vayemy.vn/chi-tiet/em7096-dam-xoe-xep-ply-do-truoc,https://vayemy.vn/wp-content/uploads/2023/04/2023_03_24_10_17_IMG_0663-scaled-247x371.jpg
EM7046,Đầm Body Đỏ Vai Kết Nút,640.000 ₫,https://vayemy.vn/chi-tiet/em7046-dam-body-do-vai-ket-nut,https://vayemy.vn/wp-content/uploads/2023/04/IMG_2897-scaled-247x371.jpg
EM7041,Đầm Xoè Nâu Phối Lá Cổ,680.000 ₫,https://vayemy.vn/chi-tiet/em7041-dam-xoe-nau-phoi-la-co,https://vayemy.vn/wp-content/uploads/2023/04/em7041-dam-xoe-nau-phoi-la-co-247x371.jpg
EM6981,Đầm Dạ Hội Cổ Cách Điệu,850.000 ₫,https://vayemy.vn/chi-tiet/em6981-dam-da-hoi-co-cach-dieu,https://vayemy.vn/wp-content/uploads/2023/04/em6981-dam-da-hoi-co-cach-dieu-247x371.jpg
